instruct_text,count,Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,instruct1.thisRepN,instruct1.thisTrialN,instruct1.thisN,instruct1.thisIndex,instruct3.thisRepN,instruct3.thisTrialN,instruct3.thisN,instruct3.thisIndex,instruct4.thisRepN,instruct4.thisTrialN,instruct4.thisN,instruct4.thisIndex,instruct5.thisRepN,instruct5.thisTrialN,instruct5.thisN,instruct5.thisIndex,count_4.thisRepN,count_4.thisTrialN,count_4.thisN,count_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,instruct6.thisRepN,instruct6.thisTrialN,instruct6.thisN,instruct6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_12.started,text_12.stopped,image_11.started,image_11.stopped,image_12.started,image_12.stopped,text_17.started,text_17.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_18.started,text_18.stopped,image_9.started,image_9.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,text_8.started,text_8.stopped,text_9.started,text_9.stopped,image_5.started,image_5.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,image_6.started,image_6.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_13.started,text_13.stopped,text_14.started,text_14.stopped,image_7.started,image_7.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_15.started,text_15.stopped,text_16.started,text_16.stopped,image_8.started,image_8.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_3.started,image_3.stopped,text_3.started,text_3.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,question1_3.started,question1_3.stopped,question2_3.started,question2_3.stopped,question3_3.started,question3_3.stopped,question4_3.started,question4_3.stopped,question5_3.started,question5_3.stopped,question6_3.started,question6_3.stopped,image_4.started,image_4.stopped,text_2.started,text_2.stopped,participant,sA,sB,lA,lB,date,expName,psychopyVersion,frameRate,
Welcome to the job simulator task! ,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.41128414900004,None,space,279.89459804,50.41128414900004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,2021_Oct_21_1313,training_fmri,3.2.4,None,
In this experiment you will listen to 12 short stories. ,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.34122694200005,None,space,2.5961701779999657,330.34122694200005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,2021_Oct_21_1313,training_fmri,3.2.4,None,
"During some of these stories, we will ask you to take on the perspective of a type of job. ",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.97446179400004,None,space,4.9465541210000765,332.97446179400004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,2021_Oct_21_1313,training_fmri,3.2.4,None,
"In other words, you should try to listen to the story from the perspective of that job. This is called “job simulation.”",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.95731948900004,None,space,6.387129444000038,337.95731948900004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,2021_Oct_21_1313,training_fmri,3.2.4,None,
You will be told the job to simulate before each story. ,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.39083479,None,space,3.8702263369999628,344.39083479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,2021_Oct_21_1313,training_fmri,3.2.4,None,
"Some stories, however, will not have any job assigned to them, and you can simply listen to the story.",,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.306815736,None,space,6.0117264279999745,348.306815736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,2021_Oct_21_1313,training_fmri,3.2.4,None,
"In this part of the experiment outside of the scanner, we will introduce you to four perspectives you will be asked to take on.",,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.35691701300004,None,space,7.12446553399991,354.35691701300004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,2021_Oct_21_1313,training_fmri,3.2.4,None,
"For each perspective, you'll also learn 4 questions associated with it to use when listening to a story.",,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.50670079200006,None,space,5.570190669000112,361.50670079200006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,2021_Oct_21_1313,training_fmri,3.2.4,None,
We encourage you to keep these questions in mind while listening to the story and simulating the associated perspective.,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.12373885600005,None,space,5.998123641999996,367.12373885600005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,2021_Oct_21_1313,training_fmri,3.2.4,None,
"When you are in the scanner, you will listen to the 12 short stories.",,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.13981412400005,None,space,5.558073931999957,373.13981412400005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,2,3,0,3,2021_Oct_21_1313,training_fmri,3.2.4,None,
