4,,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.7371384630001,None,1,2.1283109319997493,952.7371384630001,None,952.7371384630001,None,954.9027334059997,None,954.9027334059997,None,954.9027334059997,None,1,1.6447142259999055,954.9027334059997,None,,,,,,,,,,,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_1.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.5703507079998,None,1,1.864023225999972,956.5703507079998,None,907.7929210999998,910.799357785,910.804082119,918.7152345269999,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_2.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918.7159612799999,927.8433217590002,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_3.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927.8437724620001,933.2798922630002,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_4.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.2802624520002,938.3496755369999,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_5.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938.3500424179999,944.5881835030002,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_6.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.5885374070001,951.5329241649999,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_7.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.533277576,957.5641226529999,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_8.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.564693008,961.8516950119999,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_9.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961.8520894340002,965.554816696,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_10.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.5552691280002,975.6885322310002,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_11.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975.688810457,979.2335968939999,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_12.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.233967632,989.8189323980002,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_13.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.8193201410002,996.9875487430002,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_14.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996.9879156290001,1003.305578404,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_15.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.305967514,1007.3815723549999,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_16.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.3818493480001,1011.3866290630001,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_17.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.3869617070002,1019.8702027289999,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_18.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019.8705454869998,1029.713908779,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_19.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029.7142773510002,1040.6992749970002,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_20.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.6996308760001,1048.917876803,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_21.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048.918226256,1057.821916997,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_22.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057.8223228220002,1062.7417115599999,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_23.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.742064109,1069.3791654590002,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_24.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069.379503109,1078.115530027,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_25.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.116064401,1084.419291471,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_26.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.419654784,1089.2742421630003,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_27.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089.274499021,1096.278980762,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,parcelated_audio/44/44_28.ogg,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096.2792615290002,1107.5636629480002,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
4,,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.564047741,1113.5658069070003,1158.2418120369998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.253097143,None,1164.253097143,None,,,,,,,,,,,,,,,
﻿count,audio,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_25.thisRepN,trials_25.thisTrialN,trials_25.thisN,trials_25.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_26.thisRepN,trials_26.thisTrialN,trials_26.thisN,trials_26.thisIndex,story_list_block2,action_list_block2,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_76.started,text_76.stopped,text_77.started,text_77.stopped,startWait,endWait,image_23.started,image_23.stopped,text_55.started,text_55.stopped,text_56.started,text_56.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_82.started,text_82.stopped,text_57.started,text_57.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,text_83.started,text_83.stopped,text_60.started,text_60.stopped,image_2.started,image_2.stopped,text_58.started,text_58.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.started,key_resp_23.stopped,text_62.started,text_62.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.started,key_resp_18.stopped,text_84.started,text_84.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_59.started,text_59.stopped,key_resp_19.keys,key_resp_19.rt,key_resp_19.started,key_resp_19.stopped,text_85.started,text_85.stopped,text_61.started,text_61.stopped,image_17.started,image_17.stopped,text_63.started,text_63.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.started,key_resp_24.stopped,text_64.started,text_64.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,storyImage_StartTime,storyImage_EndTime,clip_StartTime,clip_EndTime,text_67.started,text_67.stopped,text_68.started,text_68.stopped,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[22 42 31 33 44 24 11 13],[3 2 4 4 2 3 1 1],22.10259188499981,None,equal,28.56285291999984,22.10259188499981,None,28.58206260299994,22.10259188499981,None,22.10259188499981,None,0.0003633660001014505,6.015336296999976,50.69161600999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.70242799999983,None,56.70242799999983,None,1,1.9228711380001187,56.70242799999983,None,56.70242799999983,None,58.65789816999995,None,1,1.5485020650000934,58.65789816999995,None,58.65789816999995,None,60.258069122999814,None,60.258069122999814,None,60.258069122999814,None,1,1.5683769249999386,60.258069122999814,None,61.852733084999954,None,1,1.9097333150000395,61.852733084999954,None,61.852733084999954,None,63.86936081999988,None,63.86936081999988,None,63.86936081999988,None,63.86936081999988,None,63.86936081999988,None,63.86936081999988,None,63.86936081999988,None,None,63.86936081999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0527874559998,None,1,3.0345608390000507,83.0527874559998,None,83.0527874559998,None,86.13599551099992,None,86.13599551099992,None,86.13599551099992,None,1,1.8434428759999264,86.13599551099992,None,,,,,,,,,,,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_1.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.00257954599988,None,1,1.8688510049998968,88.00257954599988,None,39.21732798700009,42.23148468399995,42.23651608900013,50.61893374700003,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_2.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.61980831999995,63.354939275000106,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_3.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3552071040001,73.75272130200005,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_4.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7530054020001,87.44801592299996,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_5.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.4483704700001,98.88845384399997,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_6.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.88880343799997,105.37792471700004,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_7.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.38095116099998,110.58720495000011,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_8.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.58765455000002,113.75250037299998,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_9.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.75290109800017,122.30369111699997,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_10.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.30396946500014,126.62256729800015,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_11.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.62283937100005,131.613714545,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_12.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.61399826299998,137.580269349,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_13.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.58077561599998,144.73627399500015,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
1,parcelated_audio/42/42_14.ogg,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.7365478160002,149.4563522750002,,,,,011721,0,1,1,3,0,1,2,0,10,2021_Jan_17_1447,listening_fmri,3.2.4,59.60555890261598,
